Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
DE: Steinfurt,DEA37,-0.08450228255881163,-0.11933993221741075,-0.058843127199979736,-0.029351528273696463,114,0.772,0.712,0.726,0.399,2
DE: Oder-Spree,DE40C,-0.08013953259246978,-0.11489893625830498,-0.053077995963354815,-0.026549618837293544,116,0.707,0.787,0.935,0.52,3
DE: Sömmerda,DEG0D,-0.07465462467456446,-0.10166491367589336,-0.052345648246215196,-0.0317407381618151,121,0.777,1.0,0.931,0.723,4
DE: Hildburghausen,DEG0E,-0.07162966917687609,-0.10595238095238096,-0.048548199767711964,-0.02592915214866435,124,0.718,0.629,0.865,0.391,2
DE: Darmstadt-Dieburg,DE716,-0.07840723909806496,-0.11159905200055761,-0.05130349923323574,-0.02711557228495748,119,0.739,0.467,0.375,0.129,1
DE: Groß-Gerau,DE717,-0.07596943330982679,-0.11094707323448236,-0.04978097033544544,-0.026157905144468557,120,0.733,0.276,0.446,0.09,1
DE: Hochtaunuskreis,DE718,-0.07237913679537436,-0.10545915248176502,-0.048506788374212254,-0.0203888335633934,121,0.661,0.59,0.372,0.145,1
DE: Main-Kinzig-Kreis,DE719,-0.07666394626665904,-0.1112508943315025,-0.05408590479144053,-0.027094367955864222,120,0.725,0.741,0.376,0.202,2
"DE: Memmingen, Kreisfreie Stadt",DE274,-0.07725046251127435,-0.11342136660112324,-0.05358486487385316,-0.03152257506661733,118,0.771,0.741,0.474,0.271,2
DE: Wetteraukreis,DE71E,-0.07868548726626644,-0.10361730206780312,-0.05103156058927926,-0.02649715645981808,119,0.739,0.751,0.369,0.205,2
DE: Gifhorn,DE914,-0.0864873426566911,-0.11934612266954879,-0.055795730883544996,-0.030059443393677384,116,0.784,0.468,0.864,0.317,2
DE: Plön,DEF0A,-0.06116795157329679,-0.08919821826280624,-0.041499628804751304,-0.020230141054194514,130,0.677,0.553,0.876,0.328,2
DE: Stendal,DEE0D,-0.07557226694703346,-0.1021671826625387,-0.04869124683366168,-0.0273008725021109,121,0.736,0.577,0.928,0.394,2
DE: Wittenberg,DEE0E,-0.07351420907641001,-0.10308829926054804,-0.05306655067420617,-0.029505582137161073,120,0.767,0.484,0.926,0.344,2
"DE: Flensburg, Kreisfreie Stadt",DEF01,-0.07427351164797238,-0.10962406015037596,-0.0507593984962406,-0.02439849624060151,122,0.713,0.449,0.878,0.281,2
"DE: Kiel, Kreisfreie Stadt",DEF02,-0.06785014891273305,-0.10038860103626943,-0.04720782959124927,-0.024755325273459992,127,0.717,0.833,0.877,0.524,3
"DE: Lübeck, Kreisfreie Stadt",DEF03,-0.0597134778005841,-0.08035823478152024,-0.04440478765419429,-0.019862232886179318,129,0.651,1.0,0.886,0.577,3
DE: Saalfeld-Rudolstadt,DEG0I,-0.07128239012900832,-0.0990180378688098,-0.04860282503624411,-0.025950893146746926,124,0.734,0.723,0.911,0.483,3
DE: Mayen-Koblenz,DEB17,-0.06961918282270887,-0.0972548367916839,-0.04688147188113785,-0.02541904386515772,125,0.72,0.247,0.868,0.154,1
DE: Neuwied,DEB18,-0.07028979126645538,-0.10579020954437227,-0.047831719998154366,-0.023278313684505024,124,0.694,0.097,0.867,0.058,1
DE: Rhein-Lahn-Kreis,DEB1A,-0.08266922937792316,-0.11385264819236482,-0.06398518548574972,-0.02796680306336396,121,0.752,0.084,0.838,0.053,1
"DE: Augsburg, Landkreis",DE276,-0.06318117523044367,-0.08950135462699552,-0.04385786498106516,-0.02152897193628455,126,0.675,0.404,0.459,0.125,1
